measure,hazard,haz_type,x_ent,m_fut_cost,x_haz_today,x_haz_fut,ben_aai_Assets,ben_aai_People,bcr_aai_Assets,bcr_aai_People,npv_aai_Assets,npv_aai_People,ben_rp250_Assets,ben_rp250_People,bcr_rp250_Assets,bcr_rp250_People,npv_rp250_Assets,npv_rp250_People,cost_Assets,cost_People,approv,feas
Retention Reservoirs,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.40625,9824023.01507094,21129.119533047546,8.206399738844656,0.017649999470890576,186656437.28634757,401453.27112790133,101270245.81578831,209318.03644841336,84.59509078312335,0.17485173609737636,1924134670.499974,3977042.692519841,1150825.333333333,1150825.333333333,3,0.5459083367198051
Retention Reservoirs,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.59375,9826043.837610137,21135.794202185432,8.208087812817253,0.017655575089248348,186694832.91459224,401580.0898415212,101270245.81578831,209318.03644841336,84.59509078312335,0.17485173609737636,1924134670.499974,3977042.692519841,1150825.333333333,1150825.333333333,3,0.5459083367198051
Retention Reservoirs,river_flood,RF,1.16875,1.0402250065321725,1.84375,2.40625,9846064.04949557,21167.43137273152,8.22481149733389,0.017682002884430517,187075216.9404163,402181.1960818971,101270245.81578831,209318.03644841336,84.59509078312335,0.17485173609737636,1924134670.499974,3977042.692519841,1150825.333333333,1150825.333333333,3,0.5459083367198051
Retention Reservoirs,river_flood,RF,1.16875,1.1009990169249582,1.28125,2.40625,9824023.01507094,21129.119533047546,7.75341493563489,0.01667573770063717,186656437.28634757,401453.27112790133,101270245.81578831,209318.03644841336,79.925529005683,0.16520010057052753,1924134670.499974,3977042.692519841,1150825.333333333,1150825.333333333,3,0.5459083367198051
Retention Reservoirs,river_flood,RF,1.2,1.0,2.5,2.5,9947717.688318484,21370.279901683105,8.643985668533382,0.018569525090123534,189006636.078049,406035.3181319768,102949383.76458898,212571.34287919386,89.45700166887967,0.1847120816010254,1956038291.5271814,4038855.5147046614,1150825.333333333,1150825.333333333,3,0.5459083367198051
Retention Reservoirs,river_flood,RF,1.66875,1.0402250065321725,1.28125,2.40625,11144351.690459553,23662.286333282118,9.309323142044764,0.01976605511693334,211742682.11873055,449583.44033235667,128136452.99659443,261370.93934089394,107.03750925609368,0.2183336098722694,2434592606.935297,4966047.847476978,1150825.333333333,1150825.333333333,3,0.5459083367198051
Retention Reservoirs,river_flood,RF,1.66875,1.1009990169249582,1.84375,2.59375,11177842.866963347,23723.66293394738,8.821890349802658,0.018723429519439824,212379014.4723032,450749.595744997,128136452.99659443,261370.93934089394,101.12914912138967,0.20628181975121054,2434592606.935297,4966047.847476978,1150825.333333333,1150825.333333333,3,0.5459083367198051
Spillways,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.40625,72841739.42420073,160764.76745326378,7.438387141232574,0.016416831729176184,123638720.87721778,261817.6232076851,3.938463868729178e-07,3.6370464980971287e-10,4.0218450614910846e-14,3.7140463856801284e-17,2025404916.3157618,4186360.728968254,9414001.0,9414001.0,4,0.33860464139007485
Spillways,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.59375,72882155.87498455,160898.2608360213,7.442514351952431,0.016430463686205113,123638720.87721781,261817.62320768533,3.938463868729178e-07,3.6370464980971287e-10,4.0218450614910846e-14,3.7140463856801284e-17,2025404916.3157618,4186360.728968254,9414001.0,9414001.0,4,0.33860464139007485
Spillways,river_flood,RF,1.16875,1.0402250065321725,1.84375,2.40625,73016907.83219773,160975.0424434255,7.456274830954082,0.016438304401236267,123904373.15771416,262373.58501120313,3.938463868729178e-07,3.6370464980971287e-10,4.0218450614910846e-14,3.7140463856801284e-17,2025404916.3157618,4186360.728968254,9414001.0,9414001.0,4,0.33860464139007485
Spillways,river_flood,RF,1.16875,1.1009990169249582,1.28125,2.40625,72841739.42420073,160764.76745326378,7.027795841442481,0.0155106395466326,123638720.87721778,261817.6232076851,3.938463868729178e-07,3.6370464980971287e-10,3.7998433613915715e-14,3.509034855085822e-17,2025404916.3157618,4186360.728968254,9414001.0,9414001.0,4,0.33860464139007485
Spillways,river_flood,RF,1.2,1.0,2.5,2.5,73298540.23469883,161550.14145570912,7.786119869192581,0.01716062505790143,125655813.53166866,265855.4565779508,3.938463868729178e-07,3.6370464980971287e-10,4.183623805360949e-14,3.8634439258049036e-17,2058987675.29177,4251426.857583855,9414001.0,9414001.0,4,0.33860464139007485
Spillways,river_flood,RF,1.66875,1.0402250065321725,1.28125,2.40625,73830277.59938304,162523.82694547204,7.53933379227384,0.016596461782095513,149056756.20980704,310721.89972016675,-9.277395502244955e-08,0.0,-9.47380718164186e-15,0.0,2562729059.9318914,5227418.786817872,9414001.0,9414001.0,4,0.33860464139007485
Spillways,river_flood,RF,1.66875,1.1009990169249582,1.84375,2.59375,74120800.81452627,162957.55253343377,7.151200120238343,0.015722200198388207,149436056.52474028,311515.7061455106,-9.277395502244955e-08,0.0,-8.950862794530212e-15,0.0,2562729059.9318914,5227418.786817872,9414001.0,9414001.0,4,0.33860464139007485
Storage + Sandbags,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.40625,9841764.407309424,21159.298930875142,10.266525083045826,0.022072513039649376,186638695.8941091,401423.09173007373,101270245.81578818,209318.03644841336,105.640968001818,0.21835199285358925,1924134670.499974,3977042.692519841,921557.0,921557.0,1,0.650292510975634
Storage + Sandbags,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.59375,9841256.076735899,21161.460896945973,10.265994813434851,0.022074768314006323,186679620.67546648,401554.4231467607,101270245.81578818,209318.03644841336,105.640968001818,0.21835199285358925,1924134670.499974,3977042.692519841,921557.0,921557.0,1,0.650292510975634
Storage + Sandbags,river_flood,RF,1.16875,1.0402250065321725,1.84375,2.40625,9861956.053105302,21202.961407282153,10.2875881800122,0.022118059944723385,187059324.9368066,402145.6660473465,101270245.81578818,209318.03644841336,105.640968001818,0.21835199285358925,1924134670.499974,3977042.692519841,921557.0,921557.0,1,0.650292510975634
Storage + Sandbags,river_flood,RF,1.16875,1.1009990169249582,1.28125,2.40625,9841764.407309424,21159.298930875142,9.699823485221104,0.020854133080861478,186638695.8941091,401423.09173007373,101270245.81578818,209318.03644841336,99.8096955042477,0.20629918801091793,1924134670.499974,3977042.692519841,921557.0,921557.0,1,0.650292510975634
Storage + Sandbags,river_flood,RF,1.2,1.0,2.5,2.5,9954832.022622168,21393.725002326726,10.802188060664905,0.02321476045684285,188999521.74374533,406011.8730313332,102949383.76458871,212571.34287919386,111.71244292495062,0.23066543130722666,1956038291.5271816,4038855.5147046614,921557.0,921557.0,1,0.650292510975634
Storage + Sandbags,river_flood,RF,1.66875,1.0402250065321725,1.28125,2.40625,11167455.207228746,23699.507964837496,11.649431367576126,0.024722354946450694,211719578.60196134,449546.2187008013,128136452.99659425,261370.93934089394,133.66669372465682,0.27265144680049563,2434592606.935297,4966047.847476978,921557.0,921557.0,1,0.650292510975634
Storage + Sandbags,river_flood,RF,1.66875,1.1009990169249582,1.84375,2.59375,11195776.659689974,23764.011541607128,11.034307760740205,0.02342127973345411,212361080.6795766,450709.2471373372,128136452.99659425,261370.93934089394,126.28843006709238,0.2576013680931222,2434592606.935297,4966047.847476978,921557.0,921557.0,1,0.650292510975634
Swales,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.40625,114175625.76776682,250622.02715405117,127.70274414502941,0.28031482547650594,82304834.5336517,171960.3635068977,3.938463868729178e-07,3.6370464980971287e-10,4.4050789331846567e-13,4.0679507142337543e-16,2025404916.3157618,4186360.728968254,859500.0,859500.0,2,0.9597689989182817
Swales,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.59375,114216042.21855068,250755.5205368087,127.74794899185198,0.28046413467615955,82304834.53365168,171960.36350689793,3.938463868729178e-07,3.6370464980971287e-10,4.4050789331846567e-13,4.0679507142337543e-16,2025404916.3157618,4186360.728968254,859500.0,859500.0,2,0.9597689989182817
