measure,hazard,haz_type,x_ent,m_fut_cost,x_haz_today,x_haz_fut,ben_aai_Assets,bcr_aai_Assets,npv_aai_Assets,ben_rp250_Assets,bcr_rp250_Assets,npv_rp250_Assets,cost_Assets,approv,feas
Beach nourishment,TCs,TC,0.77421875,0.9409249341937181,3.63671875,2.41796875,3804973361.7273164,2.340199623695158,169625427271.42377,-0.00023719895679091574,-1.4588614864073412e-13,4372702739258.9395,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.78203125,0.9608344128907409,2.06640625,3.84765625,5729408708.826801,3.45078194051669,124758577113.77403,103676953827.03719,62.44388873199827,4047671578442.76,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.78203125,0.9852595178387645,1.45703125,1.12890625,6149469710.427745,3.6119629730089597,16139252058.07064,420484676796.7631,246.9765938894112,1146864872767.1733,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.78203125,0.9852595178387645,3.28515625,1.12890625,6933601691.37801,4.072532065062837,93691681377.32698,285518687541.501,167.70274122226422,3118264722341.4487,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.78203125,0.9852595178387645,3.28515625,2.83984375,4520043627.339325,2.6549005015261926,169632400140.47018,9.500052994298834e-05,5.579967261054041e-14,4395657127656.6714,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.78203125,1.039165587109259,3.80078125,2.74609375,3300955853.3269186,1.83827813563062,177278490577.3948,9.500052994298834e-05,5.2905099258297115e-14,4395657127656.6714,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.78203125,1.266006746861746,3.28515625,1.12890625,6933601691.37801,3.1694151620859436,93691681377.32698,285518687541.501,130.51330284492641,3118264722341.4487,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.78984375,0.8830463389792857,1.15234375,2.32421875,3229758839.7231493,2.1166198421455746,79778419893.12155,30769685245.179424,20.164888327112173,2171489392864.1453,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.78984375,1.0009791673161346,3.16796875,1.55078125,8303689834.399798,4.800675397129717,126150241501.38216,33305059147.695877,19.254907304934328,4385306456906.7095,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.79765625,0.9037776804704579,2.25390625,2.41796875,8614722366.917324,5.516148327007895,127462601595.86758,93998782352.61812,60.18896534685618,4314129403304.7217,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.79765625,0.9892084220510814,3.89453125,2.95703125,2953916320.5143886,1.7280911454110326,183379536039.75165,-0.00023719895679091574,-1.3876541257598533e-13,4441565904452.141,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.79765625,1.0267528206101098,2.58203125,2.76953125,5822300792.488744,3.2815951074652148,150441990068.52957,-0.00023719895679091574,-1.3369129556224776e-13,4441565904452.141,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.79765625,1.0737304000438654,2.58203125,2.76953125,5822300792.488744,3.1380195927698376,150441990068.52957,-0.00023719895679091574,-1.278420679939302e-13,4441565904452.141,1728000000.0,2,0.15935113630024111
